filename,width,height,class,xmin,ymin,xmax,ymax
frame0.jpg,1920,1080,cow,1055,602,1159,706
frame0.jpg,1920,1080,cow,1152,887,1222,1038
frame0.jpg,1920,1080,cow,628,212,686,323
frame0.jpg,1920,1080,cow,910,48,998,158
frame0.jpg,1920,1080,cow,340,465,476,523
frame0.jpg,1920,1080,cow,510,695,610,789
frame0.jpg,1920,1080,cow,1536,95,1654,161
frame0.jpg,1920,1080,calf,632,152,681,206
frame0.jpg,1920,1080,calf,1016,33,1059,101
frame0.jpg,1920,1080,calf,598,439,673,470
frame1.jpg,1920,1080,cow,575,776,690,897
frame1.jpg,1920,1080,cow,1011,669,1069,807
frame1.jpg,1920,1080,cow,347,464,473,522
frame1.jpg,1920,1080,cow,626,210,686,336
frame1.jpg,1920,1080,cow,1540,87,1652,164
frame1.jpg,1920,1080,cow,1147,905,1236,1040
frame1.jpg,1920,1080,calf,564,87,622,139
frame1.jpg,1920,1080,calf,633,434,664,495
frame1.jpg,1920,1080,calf,1023,21,1048,65
frame10.jpg,1920,1080,cow,1018,318,1124,395
frame10.jpg,1920,1080,cow,1469,263,1605,337
frame10.jpg,1920,1080,cow,1161,947,1315,1032
frame10.jpg,1920,1080,cow,315,216,445,302
frame10.jpg,1920,1080,calf,589,319,659,345
frame10.jpg,1920,1080,calf,995,132,1017,192
frame10.jpg,1920,1080,calf,901,74,928,117
frame10.jpg,1920,1080,calf,380,101,459,138
frame10.jpg,1920,1080,calf,1026,942,1090,1015
frame100.jpg,1920,1080,cow,887,386,963,503
frame100.jpg,1920,1080,cow,703,608,798,675
frame100.jpg,1920,1080,cow,584,150,689,263
frame100.jpg,1920,1080,cow,1816,375,1920,475
frame100.jpg,1920,1080,calf,597,442,676,475
frame100.jpg,1920,1080,calf,642,540,716,571
frame100.jpg,1920,1080,cow_drop,781,779,811,808
frame100.jpg,1920,1080,cow_drop,832,779,866,812
frame100.jpg,1920,1080,cow_drop,837,724,869,757
frame100.jpg,1920,1080,cow_drop,1044,626,1074,654
frame100.jpg,1920,1080,cow_drop,1148,627,1176,657
frame100.jpg,1920,1080,cow_drop,901,339,931,364
frame100.jpg,1920,1080,cow_drop,1095,386,1123,411
frame100.jpg,1920,1080,cow_drop,1252,680,1280,711
frame100.jpg,1920,1080,cow_drop,1247,531,1275,555
frame101.jpg,1920,1080,cow,576,143,676,245
frame101.jpg,1920,1080,cow,743,538,858,636
frame101.jpg,1920,1080,cow,897,392,995,506
frame101.jpg,1920,1080,cow,1794,387,1920,485
frame101.jpg,1920,1080,calf,597,447,674,476
frame101.jpg,1920,1080,calf,673,505,728,561
frame101.jpg,1920,1080,cow_drop,776,778,812,812
frame101.jpg,1920,1080,cow_drop,834,781,864,812
frame101.jpg,1920,1080,cow_drop,836,726,865,757
frame101.jpg,1920,1080,cow_drop,903,337,929,365
frame101.jpg,1920,1080,cow_drop,1044,627,1074,655
frame101.jpg,1920,1080,cow_drop,1147,624,1176,657
frame101.jpg,1920,1080,cow_drop,1252,681,1279,712
frame101.jpg,1920,1080,cow_drop,1247,528,1275,559
frame101.jpg,1920,1080,cow_drop,1092,385,1119,412
frame102.jpg,1920,1080,cow,571,155,692,240
frame102.jpg,1920,1080,cow,756,531,889,590
frame102.jpg,1920,1080,cow,1805,387,1920,479
frame102.jpg,1920,1080,calf,598,445,677,475
frame102.jpg,1920,1080,calf,705,474,756,536
frame102.jpg,1920,1080,cow_drop,900,336,931,364
frame102.jpg,1920,1080,cow_drop,779,780,811,810
frame102.jpg,1920,1080,cow_drop,834,780,868,811
frame102.jpg,1920,1080,cow_drop,838,722,865,758
frame102.jpg,1920,1080,cow_drop,1042,626,1073,654
frame102.jpg,1920,1080,cow_drop,1147,627,1174,658
frame102.jpg,1920,1080,cow_drop,1248,681,1279,711
frame102.jpg,1920,1080,cow_drop,1247,528,1275,559
frame102.jpg,1920,1080,cow_drop,1094,387,1121,411
frame103.jpg,1920,1080,cow,627,179,690,294
frame103.jpg,1920,1080,cow,770,527,890,591
frame103.jpg,1920,1080,cow,1810,378,1920,475
frame103.jpg,1920,1080,calf,598,444,675,475
frame103.jpg,1920,1080,calf,705,475,761,534
frame103.jpg,1920,1080,cow_drop,779,778,813,812
frame103.jpg,1920,1080,cow_drop,833,781,865,811
frame103.jpg,1920,1080,cow_drop,837,726,868,757
frame103.jpg,1920,1080,cow_drop,1044,626,1074,655
frame103.jpg,1920,1080,cow_drop,1144,626,1174,658
frame103.jpg,1920,1080,cow_drop,1252,681,1281,711
frame103.jpg,1920,1080,cow_drop,1245,529,1274,557
frame103.jpg,1920,1080,cow_drop,1095,385,1119,413
frame103.jpg,1920,1080,cow_drop,896,474,924,497
frame103.jpg,1920,1080,cow_drop,902,337,931,364
frame104.jpg,1920,1080,cow,615,248,684,364
frame104.jpg,1920,1080,cow,775,502,894,590
frame104.jpg,1920,1080,calf,597,445,675,476
frame104.jpg,1920,1080,calf,705,473,760,536
frame104.jpg,1920,1080,cow_drop,902,337,931,363
frame104.jpg,1920,1080,cow_drop,779,780,812,811
frame104.jpg,1920,1080,cow_drop,837,779,866,812
frame104.jpg,1920,1080,cow_drop,838,727,865,755
frame104.jpg,1920,1080,cow_drop,1048,627,1076,655
frame104.jpg,1920,1080,cow_drop,1144,627,1176,659
frame104.jpg,1920,1080,cow_drop,1094,385,1121,411
frame104.jpg,1920,1080,cow_drop,897,478,926,500
frame104.jpg,1920,1080,cow_drop,1252,679,1282,710
frame104.jpg,1920,1080,cow_drop,1243,527,1274,557
frame105.jpg,1920,1080,cow,606,295,679,413
frame105.jpg,1920,1080,calf,598,448,674,475
frame105.jpg,1920,1080,calf,707,492,760,542
frame105.jpg,1920,1080,cow_drop,781,778,811,812
frame105.jpg,1920,1080,cow_drop,832,780,865,813
frame105.jpg,1920,1080,cow_drop,836,727,868,757
frame105.jpg,1920,1080,cow_drop,1043,626,1074,657
frame105.jpg,1920,1080,cow_drop,1148,627,1174,658
frame105.jpg,1920,1080,cow_drop,1252,680,1282,712
frame105.jpg,1920,1080,cow_drop,1247,526,1275,558
frame105.jpg,1920,1080,cow_drop,897,471,924,501
frame105.jpg,1920,1080,cow_drop,1092,387,1122,411
frame105.jpg,1920,1080,cow_drop,901,336,931,365
frame106.jpg,1920,1080,cow,607,319,686,411
frame106.jpg,1920,1080,calf,596,444,675,474
frame106.jpg,1920,1080,calf,708,526,754,582
frame106.jpg,1920,1080,cow_drop,780,780,810,810
frame106.jpg,1920,1080,cow_drop,796,517,824,545
frame106.jpg,1920,1080,cow_drop,834,779,865,817
frame106.jpg,1920,1080,cow_drop,837,726,866,758
frame106.jpg,1920,1080,cow_drop,1045,626,1074,655
frame106.jpg,1920,1080,cow_drop,1147,626,1177,658
frame106.jpg,1920,1080,cow_drop,1248,681,1281,711
frame106.jpg,1920,1080,cow_drop,1247,528,1274,559
frame106.jpg,1920,1080,cow_drop,1096,386,1119,410
frame106.jpg,1920,1080,cow_drop,896,473,928,498
frame106.jpg,1920,1080,cow_drop,901,339,931,365
frame107.jpg,1920,1080,cow,569,319,685,392
frame107.jpg,1920,1080,calf,766,543,838,576
frame107.jpg,1920,1080,calf,597,444,675,475
frame107.jpg,1920,1080,cow_drop,798,524,827,545
frame107.jpg,1920,1080,cow_drop,779,780,812,811
frame107.jpg,1920,1080,cow_drop,836,781,865,813
frame107.jpg,1920,1080,cow_drop,836,727,869,759
frame107.jpg,1920,1080,cow_drop,1045,627,1074,655
frame107.jpg,1920,1080,cow_drop,895,471,927,502
frame107.jpg,1920,1080,cow_drop,903,339,929,363
frame107.jpg,1920,1080,cow_drop,1094,386,1119,413
frame107.jpg,1920,1080,cow_drop,1245,527,1274,557
frame107.jpg,1920,1080,cow_drop,1248,681,1279,712
frame107.jpg,1920,1080,cow_drop,1147,627,1175,658
frame108.jpg,1920,1080,cow,675,376,805,454
frame108.jpg,1920,1080,calf,600,444,669,475
frame108.jpg,1920,1080,calf,853,547,922,576
frame108.jpg,1920,1080,cow_drop,779,781,813,811
frame108.jpg,1920,1080,cow_drop,836,778,865,813
frame108.jpg,1920,1080,cow_drop,837,726,866,758
frame108.jpg,1920,1080,cow_drop,795,518,828,548
frame108.jpg,1920,1080,cow_drop,1045,626,1070,655
frame108.jpg,1920,1080,cow_drop,1147,629,1179,657
frame108.jpg,1920,1080,cow_drop,1255,682,1282,711
frame108.jpg,1920,1080,cow_drop,1248,524,1275,559
frame108.jpg,1920,1080,cow_drop,897,473,926,501
frame108.jpg,1920,1080,cow_drop,1092,382,1121,411
frame108.jpg,1920,1080,cow_drop,906,340,928,365
frame109.jpg,1920,1080,cow,761,421,886,489
frame109.jpg,1920,1080,calf,602,443,675,475
frame109.jpg,1920,1080,calf,854,547,922,574
frame109.jpg,1920,1080,calf,1124,340,1150,403
frame109.jpg,1920,1080,cow_drop,781,779,811,810
frame109.jpg,1920,1080,cow_drop,834,780,863,812
frame109.jpg,1920,1080,cow_drop,839,727,869,755
frame109.jpg,1920,1080,cow_drop,797,519,824,549
frame109.jpg,1920,1080,cow_drop,897,473,927,500
frame109.jpg,1920,1080,cow_drop,1048,627,1074,652
frame109.jpg,1920,1080,cow_drop,1144,631,1175,657
frame109.jpg,1920,1080,cow_drop,1250,680,1280,711
frame109.jpg,1920,1080,cow_drop,1247,527,1275,558
frame109.jpg,1920,1080,cow_drop,1091,381,1122,411
frame109.jpg,1920,1080,cow_drop,900,339,931,363
frame11.jpg,1920,1080,cow,470,255,585,348
frame11.jpg,1920,1080,cow,970,459,1112,524
